sponsor_key,display_name,name_source,source_page,source_image,source_image_sha256,source_link,link_verified,logo_verified,notes,status
kolbeck-hightech-logistik-gmbh,Kolbeck Hightech-Logistik GmbH.,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-134,word/media/image34.jpeg,91ef2f0192c432eb05728f513f1cf334a0071fa7e466f1d1a5fae9219b7d98cf,https://spedition-kolbeck.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
josef-mayr-bauunternehmen,Josef Mayr Bauunternehmen,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-138,word/media/image35.jpeg,e1285bbfd2c841e710ab70244e0a10213b9c3826176c7d260d6de44306e7955d,https://www.esc-geretsried.de/,NO,YES,DOCX relationship points to ESC homepage; no replacement URL guessed.,WIDERSPRUCH
quantum-systems,Quantum Systems,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-142,word/media/image36.png,7d5fc653dbf8f4667601ed41de2ec35849b32bacae706186d012f19f2aa52628,https://quantum-systems.com/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
raiffeisen-ware-oberland,Raiffeisen Ware Oberland,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-146,word/media/image37.png,5032be21e77d71b3ce2fa8ed1a454df8ab839420c2215f67d4ddcca2fc7c7e64,https://raiwa24.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
stoeger-automation,Stöger Automation,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-150,word/media/image38.jpeg,ead35a347c0cf8505d865a0615a0fc0a2f3299741ddce84b91bbe6bae7e7c43f,https://www.stoeger.com/de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
merkur-zeitungsverlag-oberbayern,Merkur.de / Zeitungsverlag Oberbayern,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-153,word/media/image39.jpeg,c94cab86138d63f6634dfb9bc8775eaea370802aec925cc927f5ae40ff44b472,http://www.zeitungsverlag-oberbayern.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
rudolf-better-chemistry,Rudolf Better Chemistry,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-156,word/media/image40.jpeg,e54b7a00dc855315398d0ddccdf4990b606ea9edc408fd6730dd098b248069d6,https://www.rudolf.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
zimmerei-thomas-schurz,Zimmerei Thomas Schurz,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-159,word/media/image41.jpeg,c34a5bad8f8ca6847a9f9ef2ecacc49ee3ff3e5ce9f1e1a0afad0e94db81b4fb,https://www.schurz-zimmerei.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
17er-oberlandenergie,17er Oberlandenergie,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-162,word/media/image42.jpeg,d8254cc82c2babfb9590fa9f588c08b51cf1f1f1e8489d4fd3c45b92970ca3ac,https://17er.com/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
lerche,Lerche,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-165,word/media/image43.jpeg,8b782694a60c80bb24047074caff996cf6cae13446c8ad05a13da2237a7ebc05,https://www.lerche-werbemittel.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
buchner-und-kollegen,Buchner & Kollegen,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-171,word/media/image44.png,70c537160b5ecaa98c8bd1090f9b96611e82d51fe6cc8d713c2c37b3d24e1421,https://www.kanzlei-buchner.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
sportspub-altes-oel,Sportspub „Altes Öl“,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-174,word/media/image45.jpeg,f1cdbcc35c0b838d9f82a45a2c3bb47d609a5a671edf260ec95eda90a9683e8d,https://www.facebook.com/SportsPubZumAltenOl,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
autohaus-walter-matl,Autohaus Walter Matl,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-177,word/media/image46.png,50cacc25b69f917d6f33ac2385c772027f35a4000d351afb23b7f6f2d8e3574a,https://www.nissan-matl-koenigsdorf.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
stileffekt,Stileffekt,embedded logo text; visually transcribed,Sponsoren Fotos und Link.docx#paragraph-180,word/media/image47.jpeg,5b74f104df6f55aeb7c0120b62be00aa428c9cbcbb149607289daaa437af16a8,https://www.stileffekt.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
