key,name,path,scope,sources,texts,images,downloads,sport,news,social_video,migrate,exclude,missing,verify,status,founder_text,hero_copy,member_admin_source
u11,U11,/u11/,u11,https://www.esc-geretsried.de/eishockey/kleinschueler-u11/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,Spielplan und Ergebnisse manuell; kein Liga-Provider; keine Tabelle,Historische News nicht migrieren,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | Tabelle | Historische News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung,VERIFIZIERT,,,
u9,U9,/u9/,u9,https://www.esc-geretsried.de/eishockey/kleinstschueler-u9/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,Spielplan und Ergebnisse manuell; kein Liga-Provider; keine Tabelle,Historische News nicht migrieren,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | Tabelle | Historische News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung,VERIFIZIERT,,,
u7,U7,/u7/,u7,https://www.esc-geretsried.de/eishockey/bambini-u7/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,Spielplan und Ergebnisse manuell; kein Liga-Provider; keine Tabelle,Historische News nicht migrieren,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | Tabelle | Historische News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung,VERIFIZIERT,,,
eislaufschule,Eislaufschule,/eislaufschule/,eislaufschule,https://www.esc-geretsried.de/eislaufschule/ | imports/esc-int-pages/eislaufschule/index.html,Abschnitt Die Eislaufschule; Kontakte; Trainingszeiten,Founder-Teamfoto,Eigene Downloads,,Historische News nicht migrieren,,"Inhalt, Kontakte, Downloads",Historische News | als Mannschaft behandeln,,Live-Quelle und zeitabhängige Kontakte/Trainingszeiten,ZU VERIFIZIEREN,,,
eiskunstlauf,Eiskunstlauf,/eiskunstlauf/,eiskunstlauf,https://www.esc-geretsried.de/eiskunstlauf/ | imports/esc-int-pages/eiskunstlauf/index.html,Abschnitt Wir sind; Kontakte; wichtige Hinweise,Founder-Teamfoto,Eigene Downloads,,Alle relevanten historischen Eiskunstlauf-News migrieren; Einzelinventar vor Implementierung vervollständigen,Instagram-Handle esc_riverrats_eiskunstlauf erst nach URL-Verifizierung,"Inhalte, Kontakte, Downloads, historische News",Unbelegte News,Vollständige Einzel-News-Liste fehlt im Lieferpaket,Historische News-Kandidaten vollständig enumerieren,FEHLT,,,
inklusion,Inklusion,/inklusion/,inklusion,https://preview.esc-geretsried.de/inklusion/,Bestehende Preview-Inhalte,Founder-Bild_Inklusion.jpg,,,Historische News nicht migrieren,,Preview-Inhalt und Bild,Historische News,,Preview-Livequelle,ZU VERIFIZIEREN,,,
verein,Verein,/verein/,verein,Excel Aufbau NEUE Vereinsseite | https://www.esc-geretsried.de/verein/vereinsfuehrung/ | https://de.wikipedia.org/wiki/Eishockey_in_Geretsried,"Verbindliche neue Vereinsstruktur: Über uns, Vereinsführung, Geschäftsstelle, Leitbild, Historie, Mitgliedsantrag, Downloads | Founder-Über-uns-Text",Leitbild nur als gelieferte Referenz,Leitbild | Satzung | Arbeitsstundennachweis | Bankverbindung | Mitglied werden | Geschäftsordnung | Beitragsordnung,,Historische Vereins-News nicht migrieren,,Vereinsstruktur und freigegebene Bestandsangaben,Historische Vereins-News | Markus Hätinen gemäß Founder-Vorgabe,,Alle Rollen/Namen zeitnah; Wikipedia-Inhalte redaktionell prüfen,ZU VERIFIZIEREN,"Eissport ist für uns mehr als Sport. Er verbindet Menschen.
Die River Rats sind in Geretsried zu Hause. Als gemeinnütziger Verein fördern wir Eishockey, Eiskunstlauf und Inklusionssport – vom ersten Schritt auf dem Eis bis zum Leistungsbereich.
Kinder sollen bei uns mit Freude und ohne unnötigen Leistungsdruck das Eislaufen und den Sport im Team kennenlernen. Jugendliche unterstützen wir nicht nur in ihrer sportlichen Entwicklung: Fairness, gegenseitige Unterstützung, Charakter und die Bereitschaft, Verantwortung zu übernehmen, gehören für uns genauso dazu.
Auch Erwachsene finden bei uns ihren Platz – vom Hobby- bis zum Leistungssport. Unser Verein soll Menschen über Alters-, Berufs- und soziale Gruppen hinweg zusammenbringen und ihnen eine sportliche Heimat bieten.
Dabei tragen wir Verantwortung über den Sport hinaus. Fairness, Solidarität und Gerechtigkeit bestimmen unser Miteinander. Rassismus, Diskriminierung, sexueller Missbrauch und Gewalt haben bei uns keinen Platz.
Wir wirtschaften solide und nachhaltig. Sportlichen Erfolg wollen wir nicht kurzfristig erkaufen, sondern unseren Verein und seine Angebote langfristig entwickeln. Dazu gehört für uns auch der Einsatz für gute Sportstätten und eine verlässliche Zusammenarbeit mit unseren Partnern.
Als River Rats sind wir eng mit Geretsried und unserer Region Oberbayern verbunden. Wir wollen dazu beitragen, dass Geretsried eine lebendige Sportstadt bleibt – und ein Verein sein, in dem Menschen gerne zusammenkommen, gemeinsam Sport treiben und füreinander einstehen.","ESC River Rats Geretsried

Verein
ESC River Rats Geretsried e.V.",Excel Aufbau NEUE Vereinsseite!A23:B23 (URL contains a Founder-supplied tenant parameter; value intentionally not duplicated in this intake)
geschaeftsstelle,Geschäftsstelle,/verein/geschaeftsstelle/,verein,Excel Referenzen!A20:F20 | imports/esc-int-pages/verein/index.html,Wir sind für Sie da; Founder-gelieferte Geschäftsstellenangaben,,,,Historische News nicht migrieren,,Geschäftsstelleninhalt im Verein-Scope,Historische News,,"Person, Kontakt, Öffnungszeiten vor Go-Live",ZU VERIFIZIEREN,,,
foerderverein,Förderverein,/foerderverein/,foerderverein,https://www.esc-geretsried.de/verein/foerderverein/ | content/verein/foerderverein/_index.md,"Text, Kontakt, Vorstand, Aufgaben",,Aufnahmeantrag | Satzung,,Historische News nicht migrieren,,Eigene Hauptseite und eigener Editor-Scope,Unterseite von Verein | Historische News,,Personen/Kontakte/Downloads vor Go-Live; aktuellen Git-Pfad später kontrolliert ablösen,WIDERSPRUCH,,,
sponsoren,Sponsoren,/sponsoren/,sponsoren,https://preview.esc-geretsried.de/sponsoren/ | https://www.esc-geretsried.de/sponsoring/ | Sponsoren Fotos und Link.docx,Sponsoring-Bestandstext nach Kontaktprüfung,47 eindeutige Founder-Logos; keine Ersetzung/Verbesserung,,,Historische News nicht migrieren,,Eigener Marketing-/Sponsoring-Scope; Sponsoren einzeln aus sponsors.csv,Historische News | geratene URLs | Logo-Austausch,,Josef-Mayr-Link; öffentliche Kontaktperson; mehrere nicht live bestätigte Links,WIDERSPRUCH,,,
impressum,Impressum,/impressum/,legal,https://www.esc-geretsried.de/impressum/ | imports/esc-int-pages/impressum/index.html,"Anbieter, Anschrift, Register, Vertretung, Kontakte, redaktionelle/technische Credits ausschließlich aus der Founder-Quelle",,,,Keine News,,Go-Live-Pflichtseite,Juristische Angaben erfinden,,Alle personen-/zeitabhängigen und rechtlichen Angaben unmittelbar vor Go-Live,ZU VERIFIZIEREN,,,
datenschutz,Datenschutz,/datenschutz/,legal,https://www.esc-geretsried.de/datenschutzerklaerung/ | imports/esc-int-pages/datenschutz/index.html,Bestehender Text nur als Migrations-/Referenzbasis; Kategorien A-I in legal.csv,,,,Keine News,,Go-Live-Pflichtseite nach technisch-fachlicher und rechtlicher Freigabe,Unverändert als gültigen Zieltext annehmen | Rechtsberatung erfinden,"Zielsystem-Datenflüsse, Hosting, Cookies, Tracking, Social/Video, Formulare/externe Dienste und Rechtsfreigabe",Jeden technisch abhängigen Abschnitt gegen Zielbetrieb prüfen,ZU VERIFIZIEREN,,,
